o,d,volume
地铁8号线嫩江路,地铁8号线市光路,3991.0
地铁9号线曹路,地铁9号线民雷路,110.0
地铁9号线民雷路,地铁9号线顾唐路,537.0
地铁9号线顾唐路,地铁9号线金海路,1155.0
地铁9号线金海路,地铁9号线金吉路,1245.0
地铁9号线金吉路,地铁9号线金桥,4546.0
地铁9号线金桥,地铁9号线台儿庄路,6918.0
地铁9号线台儿庄路,地铁9号线蓝天路,7028.0
地铁9号线蓝天路,地铁9号线芳甸路,6256.0
地铁9号线芳甸路,地铁9号线杨高中路,6065.0
地铁9号线杨高中路,地铁9号线世纪大道,7050.0
地铁9号线世纪大道,地铁9号线商城路,7175.0
地铁9号线商城路,地铁9号线小南门,11280.0
地铁9号线小南门,地铁9号线陆家浜路,13559.0
地铁9号线陆家浜路,地铁9号线马当路,13100.0
地铁9号线马当路,地铁9号线打浦桥,12636.0
地铁9号线打浦桥,地铁9号线嘉善路,15436.0
地铁9号线嘉善路,地铁9号线肇嘉浜路,16239.0
地铁9号线肇嘉浜路,地铁9号线徐家汇,17815.0
地铁9号线徐家汇,地铁9号线宜山路,20382.0
地铁9号线宜山路,地铁9号线桂林路,27704.0
地铁9号线桂林路,地铁9号线漕河泾开发区,29718.0
地铁9号线漕河泾开发区,地铁9号线合川路,38739.0
地铁9号线合川路,地铁9号线星中路,40760.0
地铁9号线星中路,地铁9号线七宝,40434.0
地铁9号线七宝,地铁9号线中春路,40139.0
地铁9号线中春路,地铁9号线九亭,40452.0
地铁9号线九亭,地铁9号线泗泾,32543.0
地铁9号线泗泾,地铁9号线佘山,20291.0
地铁9号线佘山,地铁9号线洞泾,11236.0
地铁9号线洞泾,地铁9号线松江大学城,9457.0
地铁9号线松江大学城,地铁9号线松江新城,5981.0
地铁9号线松江新城,地铁9号线松江体育中心,4265.0
地铁9号线松江体育中心,地铁9号线醉白池,1625.0
地铁9号线醉白池,地铁9号线松江南站,587.0
地铁9号线松江南站,地铁9号线醉白池,422.0
地铁9号线醉白池,地铁9号线松江体育中心,598.0
地铁9号线松江体育中心,地铁9号线松江新城,1084.0
地铁9号线松江新城,地铁9号线松江大学城,1319.0
地铁9号线松江大学城,地铁9号线洞泾,1866.0
地铁9号线洞泾,地铁9号线佘山,1817.0
地铁9号线佘山,地铁9号线泗泾,1624.0
地铁9号线泗泾,地铁9号线九亭,1579.0
地铁9号线九亭,地铁9号线中春路,1962.0
地铁9号线中春路,地铁9号线七宝,2159.0
地铁9号线七宝,地铁9号线星中路,2243.0
地铁9号线星中路,地铁9号线合川路,2100.0
地铁9号线合川路,地铁9号线漕河泾开发区,3857.0
地铁9号线漕河泾开发区,地铁9号线桂林路,11766.0
地铁9号线桂林路,地铁9号线宜山路,14000.0
地铁9号线宜山路,地铁9号线徐家汇,11409.0
地铁9号线徐家汇,地铁9号线肇嘉浜路,9000.0
地铁9号线肇嘉浜路,地铁9号线嘉善路,8215.0
地铁9号线嘉善路,地铁9号线打浦桥,7464.0
地铁9号线打浦桥,地铁9号线马当路,8939.0
地铁9号线马当路,地铁9号线陆家浜路,8310.0
地铁9号线陆家浜路,地铁9号线小南门,7152.0
地铁9号线小南门,地铁9号线商城路,8841.0
地铁9号线商城路,地铁9号线世纪大道,13498.0
地铁9号线世纪大道,地铁9号线杨高中路,15457.0
地铁9号线杨高中路,地铁9号线芳甸路,15265.0
地铁9号线芳甸路,地铁9号线蓝天路,14585.0
地铁9号线蓝天路,地铁9号线台儿庄路,13628.0
地铁9号线台儿庄路,地铁9号线金桥,11995.0
地铁9号线金桥,地铁9号线金吉路,11299.0
地铁9号线金吉路,地铁9号线金海路,14015.0
地铁9号线金海路,地铁9号线顾唐路,14279.0
地铁9号线顾唐路,地铁9号线民雷路,12839.0
地铁9号线民雷路,地铁9号线曹路,10032.0
地铁10号线虹桥火车站,地铁10号线虹桥2号航站楼,1583.0
地铁10号线虹桥2号航站楼,地铁10号线虹桥1号航站楼,2472.0
