source,target,weight
邮电新村,海伦路,1375.791871
海伦路,四川北路,1116.200352
四川北路,天潼路,1105.224819
天潼路,南京东路,841.7291199
南京东路,豫园,1349.049604
豫园,老西门,1543.386758
老西门,一大会址·新天地,1014.1809
一大会址·新天地,陕西南路,1912.906988
陕西南路,上海图书馆,1837.302177
上海图书馆,交通大学,1397.415621
交通大学,虹桥路,1485.080149
虹桥路,宋园路,1171.516467
宋园路,伊犁路,953.6126567
伊犁路,水城路,1420.349027
水城路,龙溪路,1464.565365
龙溪路,上海动物园,1452.819615
上海动物园,虹桥1号航站楼,2352.242281
虹桥1号航站楼,虹桥2号航站楼,2355.419195
虹桥2号航站楼,虹桥火车站,687.5561334
基隆路,港城路,1839.035322
港城路,高桥,1277.030157
高桥,高桥西,1559.086745
高桥西,双江路,1144.948809
双江路,国帆路,4150.904071
国帆路,新江湾城,1623.525215
新江湾城,殷高东路,898.4075942
殷高东路,三门路,1165.98583
三门路,江湾体育场,1333.725714
江湾体育场,五角场,816.3588991
五角场,国权路,1240.622537
国权路,同济大学,1093.957425
同济大学,四平路,1034.841719
四平路,邮电新村,1161.969118
邮电新村,海伦路,1375.791871
海伦路,四川北路,1116.200352
四川北路,天潼路,1105.224819
天潼路,南京东路,841.7291199
南京东路,豫园,1349.049604
豫园,老西门,1543.386758
老西门,一大会址·新天地,1014.1809
一大会址·新天地,陕西南路,1912.906988
陕西南路,上海图书馆,1837.302177
上海图书馆,交通大学,1397.415621
交通大学,虹桥路,1485.080149
虹桥路,宋园路,1171.516467
宋园路,伊犁路,953.6126567
伊犁路,水城路,1420.349027
水城路,龙溪路,1464.569579
龙溪路,龙柏新村,2663.849336
龙柏新村,紫藤路,1365.138893
紫藤路,航中路,1334.895043
航中路,紫藤路,1334.895043
紫藤路,龙柏新村,1365.138893
龙柏新村,龙溪路,2663.849336
龙溪路,水城路,1464.569579
水城路,伊犁路,1420.349027
伊犁路,宋园路,953.6027407
宋园路,虹桥路,1171.526564
虹桥路,交通大学,1485.080149
交通大学,上海图书馆,1397.415621
上海图书馆,陕西南路,1837.316799
陕西南路,一大会址·新天地,1912.897341
一大会址·新天地,老西门,1014.176617
老西门,豫园,1543.384494
豫园,南京东路,1349.051857
南京东路,天潼路,841.7291199
天潼路,四川北路,1105.224819
四川北路,海伦路,1116.204426
海伦路,邮电新村,1375.78799
邮电新村,四平路,1161.981715
四平路,同济大学,1034.828557
同济大学,国权路,1093.957425
国权路,五角场,1240.622537
五角场,江湾体育场,816.3656696
江湾体育场,三门路,1333.708062
三门路,殷高东路,1165.997123
殷高东路,新江湾城,898.4074629
新江湾城,国帆路,1623.525215
国帆路,双江路,4150.904071
双江路,高桥西,1144.948809
高桥西,高桥,1559.086745
高桥,港城路,1277.030157
港城路,基隆路,1839.035322
嘉定北,嘉定西,2271.195345
嘉定西,白银路,4605.14888
白银路,嘉定新城,2232.555567
